Year,State,City,SchoolName,NcesCharterSchool,NcesMagnetSchool,SchoolLevel,Nces Total Enrollment,Low Grade,High Grade,Percent FRL,EEI Score,EEI Category,Math Est Prof,Math Ach Cat,Reading Est Prof,Reading Ach Cat,Percent Nat Am,Percent Asian,Percent Hispanic,Percent Black,Percent White,Percent Pac Isl,Percent Two Or More Races
2015,Texas,Austin,Clayton Elementary School,,,Elem,881,K,5,3%,99.9,Far Above Average,98%,Green,96%,Green,0%,14%,15%,1%,67%,0%,4%
2015,Texas,Dallas,Dallas Environmental Science Acade,,Magnet,Middle,427,6,8,84%,99.9,Far Above Average,83%,Green,90%,Green,0%,1%,80%,14%,4%,0%,0%
2015,Texas,Houston,Frostwood Elementary School,,,Elem,700,K,5,3%,99.9,Far Above Average,98%,Green,96%,Green,0%,26%,8%,1%,60%,0%,4%
2015,New York,New York,Medgar Evers College Preparatory School,,,"Middle, High",1269,6,12,73%,99.9,Far Above Average,91%,Green,77%,Green,1%,3%,4%,90%,1%,-,2%
2015,New York,New York,Nyc Lab Ms For Collaborative Studies,,,Middle,557,6,8,34%,99.9,Far Above Average,94%,Green,89%,Green,0%,45%,7%,2%,39%,-,8%
2015,New York,New York,P.S. 172 Beacon School Of Excellence,,,Elem,597,K,5,87%,99.9,Far Above Average,97%,Green,76%,Green,0%,6%,78%,4%,12%,-,0%
2015,New York,New York,Scholars  Academy,,,"Middle, High",1302,6,12,50%,99.9,Far Above Average,89%,Green,91%,Green,1%,22%,18%,18%,41%,-,0%
2015,Illinois,Chicago,Skinner North Elementary School,,,Elem,418,K,6,20%,99.9,Far Above Average,97%,Green,94%,Green,0%,25%,12%,14%,41%,1%,6%
2015,Texas,Houston,West University Elementary School,,,Elem,1266,K,5,1%,99.9,Far Above Average,98%,Green,96%,Green,0%,18%,9%,2%,65%,0%,5%
2015,Texas,Fort Worth,Young Women's Leadership Academy,,,"Middle, High",312,6,12,62%,99.9,Far Above Average,84%,Green,96%,Green,0%,2%,58%,30%,8%,0%,2%
2015,Virginia,Richmond,George W. Carver Elementary School,,,Elem,561,K,5,94%,99.8,Far Above Average,81%,Green,84%,Green,0%,1%,2%,94%,1%,0%,2%
2015,New York,New York,I.S. 98 Bay Academy,,,Middle,1445,6,8,58%,99.8,Far Above Average,87%,Green,79%,Green,0%,28%,9%,3%,57%,-,1%
2015,Indiana,Indianapolis,Sidener Academy for High Ability Students,,,"Elem, Middle",353,2,8,42%,99.8,Far Above Average,95%,Green,93%,Green,0%,3%,12%,26%,49%,0%,10%
2015,Massachusetts,Boston,Boston Latin School,,,"Middle, High",2439,7,12,26%,99.7,Far Above Average,94%,Green,93%,Green,0%,28%,12%,9%,47%,0%,3%
2015,California,San Bernardino,Middle College High School,,,High,273,9,12,86%,99.7,Far Above Average,67%,Green,91%,Green,1%,5%,74%,10%,11%,0%,1%
2015,New York,New York,Tag Young Scholars,,,"Elem, Middle",538,K,8,50%,99.7,Far Above Average,90%,Green,86%,Green,2%,30%,23%,29%,13%,-,3%
2015,Illinois,Rockford,Washington Gifted School,,Magnet,"Elem, Middle",514,1,8,31%,99.7,Far Above Average,88%,Green,89%,Green,0%,13%,8%,6%,68%,0%,5%
2015,Texas,San Antonio,Young Women's Leadership Academy,Charter,,"Middle, High",415,6,12,60%,99.7,Far Above Average,82%,Green,87%,Green,0%,1%,91%,4%,4%,0%,0%
2015,Texas,Dallas,Henry W Longfellow Career Explorat,,Magnet,Middle,425,6,8,83%,99.6,Far Above Average,75%,Green,88%,Green,0%,2%,77%,11%,8%,0%,1%
2015,Texas,Houston,Project Chrysalis Middle School,Charter,,Middle,236,6,8,91%,99.6,Far Above Average,75%,Green,70%,Green,0%,3%,97%,0%,1%,0%,0%
2015,New York,New York,Queens Gateway To Health Sciences Secondary School,,,"Middle, High",779,6,12,71%,99.6,Far Above Average,82%,Green,82%,Green,3%,43%,12%,38%,3%,-,1%
2015,New York,New York,Success Academy Bronx 1,Charter,,Elem,535,K,4,83%,99.6,Far Above Average,94%,Green,70%,Green,0%,1%,42%,54%,1%,-,1%
2015,New York,New York,Columbia Secondary School,,,"Middle, High",660,6,12,55%,99.5,Far Above Average,84%,Green,80%,Green,1%,13%,44%,22%,20%,-,1%
2015,New York,New York,Harlem Success Academy Charter School 3,Charter,,"Elem, Middle",803,K,7,81%,99.5,Far Above Average,89%,Green,73%,Green,2%,1%,33%,62%,2%,-,0%
2015,California,Oakland,Oakland Charter High School,Charter,,High,350,9,12,80%,99.5,Far Above Average,65%,Green,77%,Green,0%,45%,47%,4%,3%,0%,1%
2015,Illinois,Rockford,Thurgood Marshall School,,,"Elem, Middle",556,4,8,45%,99.5,Far Above Average,91%,Green,85%,Green,0%,12%,9%,16%,58%,0%,5%
2015,New York,New York,All City Leadership Secondary School,,,"Middle, High",356,6,12,89%,99.4,Far Above Average,76%,Green,68%,Green,0%,7%,77%,13%,4%,-,0%
2015,Colorado,Aurora,Aurora Quest K-8,,,"Elem, Middle",600,K,8,23%,99.4,Far Above Average,87%,Green,90%,Green,1%,11%,19%,8%,52%,1%,8%
2015,Illinois,Joliet,Eisenhower Academy,,Magnet,Elem,262,1,5,98%,99.4,Far Above Average,65%,Green,73%,Green,1%,1%,28%,27%,39%,0%,3%
2015,Massachusetts,Boston,City On A Hill Charter Public School,Charter,,High,287,9,12,83%,99.3,Far Above Average,80%,Green,94%,Green,0%,1%,33%,63%,2%,0%,1%
2015,Texas,Corpus Christi,Windsor Park G/T,,,Elem,617,1,5,30%,99.3,Far Above Average,98%,Green,87%,Green,0%,12%,46%,2%,38%,0%,1%
2015,New Jersey,Elizabeth,Terence C. Reilly School #7,,,"Elem, Middle",1004,2,8,72%,99.3,Far Above Average,80%,Green,79%,Green,0%,4%,71%,12%,13%,0%,0%
2015,Arizona,Chandler,Chandler Traditional Academy - Liberty Campus,,,Elem,709,K,6,13%,99.2,Far Above Average,90%,Green,82%,Green,0%,18%,16%,5%,57%,0%,3%
2015,California,Los Angeles,KIPP Raices Academy,Charter,,Elem,536,K,4,91%,99.2,Far Above Average,71%,Green,63%,Green,0%,0%,99%,1%,1%,0%,0%
2015,Illinois,Chicago,Mcdade Elementary Classical School,,Magnet,Elem,182,K,6,47%,99.2,Far Above Average,83%,Green,91%,Green,0%,1%,3%,92%,2%,1%,2%
2015,New York,New York,South Bronx Classical Charter School,Charter,,"Elem, Middle",373,K,7,70%,99.2,Far Above Average,76%,Green,69%,Green,0%,2%,56%,41%,1%,-,0%
2015,California,Inglewood,Animo Inglewood Charter High School,Charter,,High,633,9,12,90%,99.1,Far Above Average,68%,Green,64%,Green,0%,0%,86%,13%,0%,0%,1%
2015,California,Stockton,Elkhorn School,,,"Elem, Middle",286,4,8,37%,99.1,Far Above Average,80%,Green,81%,Green,1%,52%,21%,2%,23%,0%,1%
2015,California,Fresno,Manchester Gate,,Magnet,Elem,749,2,6,46%,99.1,Far Above Average,83%,Green,84%,Green,1%,9%,42%,4%,42%,1%,1%
2015,Ohio,Columbus,Columbus Preparatory Academy,Charter,,"Elem, Middle",673,K,8,51%,99,Far Above Average,82%,Green,74%,Green,0%,10%,7%,12%,57%,0%,13%
2015,New York,New York,Harlem Success Academy Charter School 4,Charter,,"Elem, Middle",618,K,7,77%,99,Far Above Average,93%,Green,67%,Green,1%,1%,27%,68%,3%,-,1%
2015,Texas,Houston,Houston Gateway Academy - Coral Ca,Charter,,"Elem, Middle, High",715,K,12,91%,99,Far Above Average,84%,Green,64%,Green,0%,0%,98%,1%,1%,0%,0%
2015,Illinois,Springfield,Iles Elementary School,,Magnet,"Elem, Middle",448,1,8,25%,99,Far Above Average,85%,Green,87%,Green,0%,17%,3%,12%,58%,0%,11%
2015,New York,New York,Ps 125 Ralph Bunche,,,Elem,223,K,5,83%,99,Far Above Average,62%,Green,60%,Green,1%,8%,44%,41%,5%,-,2%
2015,Illinois,Chicago,Haines Elementary School,,,"Elem, Middle",644,K,8,96%,98.9,Far Above Average,64%,Green,57%,Green,0%,84%,2%,13%,0%,1%,0%
2015,Texas,Houston,Kipp Sharp College Prep,Charter,,Elem,890,K,4,91%,98.9,Far Above Average,78%,Green,58%,Green,1%,4%,76%,17%,1%,0%,0%
2015,California,Stockton,Middle College High School,,,High,242,9,12,46%,98.8,Far Above Average,79%,Green,99%,Green,1%,57%,24%,3%,10%,1%,4%
2015,California,Stockton,Stockton Unified Early College Academy,Charter,,High,375,9,12,68%,98.8,Far Above Average,77%,Green,85%,Green,2%,50%,36%,3%,7%,1%,1%
2015,California,Oakland,Downtown Charter Academy,Charter,,Middle,248,6,8,84%,98.7,Far Above Average,72%,Green,59%,Green,0%,81%,15%,2%,2%,0%,1%
2015,Minnesota,Minneapolis,Friendship Acdmy Of Fine Arts Chtr.,Charter,,Elem,136,K,6,93%,98.7,Far Above Average,87%,Green,66%,Green,1%,0%,4%,90%,4%,0%,1%
2015,Georgia,Columbus,Britt David Elementary Computer Magnet Academy,,Magnet,Elem,575,K,5,14%,98.6,Far Above Average,89%,Green,81%,Green,1%,25%,6%,18%,46%,0%,4%
2015,California,San Francisco,Chin (John Yehall) Elementary School,,,Elem,273,K,5,85%,98.6,Far Above Average,83%,Green,56%,Green,0%,90%,1%,0%,3%,1%,4%
2015,Illinois,Chicago,Poe Elementary Classical School,,Magnet,Elem,199,K,6,49%,98.6,Far Above Average,84%,Green,77%,Green,0%,1%,5%,91%,2%,0%,2%
2015,California,Lancaster,Soar High (Students on Academic Rise) School,,,High,409,9,12,57%,98.6,Far Above Average,59%,Green,85%,Green,0%,5%,54%,13%,22%,1%,3%
2015,New York,New York,Success Academy Bronx 2,,,Elem,-,K,4,-,98.6,Far Above Average,93%,Green,64%,Green,-,-,-,-,-,-,-
2015,New Jersey,Jersey City,The Academy I Middle School,,,Middle,477,6,8,73%,98.6,Far Above Average,76%,Green,68%,Green,0%,38%,18%,28%,13%,1%,2%
2015,Massachusetts,Boston,Edward Brooke Charter School,Charter,,"Elem, Middle",506,K,8,72%,98.5,Far Above Average,86%,Green,83%,Green,0%,1%,24%,69%,1%,0%,4%
2015,Texas,Austin,Graham Elementary School,,,Elem,768,K,5,88%,98.5,Far Above Average,73%,Green,58%,Green,0%,1%,77%,14%,6%,0%,1%
2015,California,Santa Ana,Middle College High School,,,High,328,9,12,91%,98.5,Far Above Average,49%,Green,95%,Green,0%,1%,97%,1%,1%,0%,0%
2015,California,Los Angeles,Downtown Business High School,,Magnet,High,1060,9,12,84%,98.4,Far Above Average,55%,Green,64%,Green,0%,32%,59%,5%,2%,0%,1%
2015,California,Fresno,Edison Computech School,,Magnet,Middle,817,7,8,64%,98.4,Far Above Average,63%,Green,82%,Green,0%,15%,57%,5%,21%,1%,1%
2015,New York,New York,Harlem Success Academy Charter School 5,Charter,,Elem,523,K,5,59%,98.3,Far Above Average,88%,Green,65%,Green,0%,1%,30%,66%,1%,-,2%
2015,Georgia,Atlanta,Kittredge Magnet School,,Magnet,Elem,456,4,6,11%,98.3,Far Above Average,83%,Green,90%,Green,1%,11%,4%,20%,60%,0%,5%
2015,California,Sacramento,West Campus,,,High,850,9,12,56%,98.3,Far Above Average,67%,Green,71%,Green,0%,34%,35%,7%,18%,1%,6%
2015,Arizona,Chandler,Arizona College Prep Oakland Campus,,,Middle,589,6,8,10%,98.2,Far Above Average,96%,Green,77%,Green,1%,18%,18%,3%,57%,0%,4%
2015,New Jersey,Newark,North Star Academy Charter School of Newark,Charter,,"Elem, Middle, High",3403,K,12,84%,98.2,Far Above Average,70%,Green,61%,Green,0%,2%,3%,89%,5%,0%,0%
2015,California,San Francisco,Lowell High School,,,High,2718,9,12,48%,98.1,Far Above Average,79%,Green,69%,Green,0%,65%,10%,2%,14%,1%,7%
2015,New York,New York,"New Explorations Into Science, Tech and Math High School",,,"Elem, Middle, High",1717,K,12,28%,98.1,Far Above Average,92%,Green,83%,Green,1%,33%,11%,9%,42%,-,4%
2015,New York,New York,Ps 184 Shuang Wen,,,"Elem, Middle",663,K,8,69%,98.1,Far Above Average,82%,Green,67%,Green,1%,75%,9%,3%,9%,-,3%
2015,New Jersey,Newark,Robert Treat Academy Charter School,Charter,,"Elem, Middle",625,K,8,72%,98.1,Far Above Average,78%,Green,63%,Green,0%,1%,63%,32%,3%,0%,0%
2015,Massachusetts,Boston,Brooke Charter School East Boston,,,"Elem, Middle",-,K,7,-,98,Far Above Average,88%,Green,81%,Green,-,-,-,-,-,-,-
2015,Texas,Brownsville,Castaneda Elementary School,,,Elem,568,K,5,95%,98,Far Above Average,73%,Green,55%,Green,0%,0%,100%,0%,0%,0%,0%
2015,Texas,Grand Prairie,Grand Prairie Collegiate Institute,,,"Middle, High",-,6,12,-,98,Far Above Average,79%,Green,75%,Green,-,-,-,-,-,-,-
2015,Texas,Dallas,Harry Stone Montessori Academy,,Magnet,Middle,194,6,8,66%,98,Far Above Average,72%,Green,75%,Green,0%,0%,51%,41%,6%,0%,2%
2015,New York,New York,The Active Learning Elementary School,,,Elem,440,K,3,79%,98,Far Above Average,72%,Green,59%,Green,0%,87%,7%,1%,3%,-,1%
2015,California,Los Angeles,Francisco Bravo Medical Magnet High School,,Magnet,High,1841,9,12,90%,97.9,Far Above Average,49%,Green,62%,Green,0%,12%,79%,2%,6%,0%,0%
2015,New York,New York,Harlem Success Academy Charter School 2,Charter,,Elem,739,K,6,60%,97.9,Far Above Average,79%,Green,63%,Green,1%,1%,23%,73%,1%,-,0%
2015,Texas,Lubbock,Rise Academy,Charter,,"Elem, Middle",267,K,8,86%,97.9,Far Above Average,74%,Green,55%,Green,0%,0%,28%,68%,2%,0%,1%
2015,New York,New York,Robert F Wagner Junior Secondary School-Arts and Technology,,,"Middle, High",614,7,12,81%,97.9,Far Above Average,68%,Green,73%,Green,0%,21%,60%,5%,13%,-,1%
2015,New Jersey,Elizabeth,No 22 William F Halloran,,,"Elem, Middle",862,2,8,72%,97.9,Far Above Average,73%,Green,66%,Green,0%,5%,68%,14%,13%,0%,0%
2015,New York,New York,East West School Of International Studies,,,"Middle, High",664,6,12,85%,97.7,Far Above Average,68%,Green,51%,Green,0%,68%,14%,11%,5%,-,1%
2015,Texas,Dallas,George Bannerman Dealey Internatio,,,Middle,189,6,8,44%,97.7,Far Above Average,69%,Green,84%,Green,1%,8%,43%,11%,34%,1%,2%
2015,New York,New York,Mark Twain is 239 for the Gifted and Talented,,,Middle,1300,6,8,30%,97.7,Far Above Average,75%,Green,80%,Green,0%,28%,6%,9%,54%,-,3%
2015,Texas,McAllen,Idea Mcallen College Preparatory,,,Middle,-,6,8,-,97.6,Far Above Average,61%,Green,54%,Green,-,-,-,-,-,-,-
2015,Illinois,Chicago,Healy Elementary School,,,"Elem, Middle",1391,K,8,91%,97.4,Far Above Average,64%,Green,50%,Green,0%,64%,24%,1%,9%,2%,1%
2015,New York,New York,Ps 748 Brooklyn School For Global Scholars,,,Elem,573,K,5,63%,97.3,Far Above Average,75%,Green,73%,Green,1%,39%,20%,0%,39%,-,1%
2015,California,Oakland,American Indian Public High School,Charter,,High,214,9,12,71%,97.2,Far Above Average,64%,Green,52%,Green,0%,65%,16%,14%,2%,1%,2%
2015,Massachusetts,Boston,Boston Latin Academy,,,"Middle, High",1723,7,12,48%,97.1,Far Above Average,78%,Green,76%,Green,1%,22%,21%,26%,28%,0%,2%
2015,California,Oakland,Lighthouse Community Charter High School,Charter,,High,262,9,12,84%,97.1,Far Above Average,51%,Green,52%,Green,0%,5%,84%,8%,1%,1%,2%
2015,Texas,Amarillo,Windsor Elementary School,,,Elem,468,K,5,18%,97.1,Far Above Average,98%,Green,78%,Green,0%,3%,17%,2%,76%,0%,2%
2015,Texas,Waco,La Vega Elementary School,,,Elem,702,1,3,85%,97,Far Above Average,62%,Green,61%,Green,0%,0%,56%,22%,21%,0%,2%
2015,Texas,Laredo,Kazen Elementary School,,,Elem,550,K,5,90%,96.8,Far Above Average,69%,Green,51%,Green,0%,0%,100%,0%,0%,0%,0%
2015,Louisiana,New Orleans,Lake Forest Elementary Charter School,Charter,Magnet,"Elem, Middle",531,K,8,77%,96.8,Far Above Average,59%,Green,82%,Green,1%,7%,1%,90%,1%,0%,1%
2015,New York,New York,Success Academy Harlem 1,Charter,,"Elem, Middle",931,K,9,82%,96.8,Far Above Average,85%,Green,56%,Green,3%,1%,20%,73%,2%,-,0%
2015,California,El Cajon,Grossmont Middle College High School,,,High,79,11,12,25%,96.7,Far Above Average,70%,Green,99%,Green,1%,3%,20%,5%,59%,0%,11%
2015,Tennessee,Nashville,Martin Luther King Junior Magnet- Pearl High School,,Magnet,"Middle, High",1224,7,12,37%,96.7,Far Above Average,67%,Green,84%,Green,0%,12%,5%,37%,42%,0%,4%
2015,Louisiana,Baton Rouge,Westdale Heights Academic Magnet School,,Magnet,Elem,445,K,5,16%,96.7,Far Above Average,91%,Green,76%,Green,0%,8%,2%,43%,43%,1%,3%
2015,New York,New York,Ps 203 Oakland Gardens,,,Elem,905,K,5,39%,96.5,Far Above Average,77%,Green,65%,Green,0%,70%,9%,2%,16%,-,2%
2015,New York,New York,Jhs 74 Nathaniel Hawthorne,,,Middle,1047,6,8,46%,96.4,Far Above Average,69%,Green,62%,Green,0%,65%,9%,5%,19%,-,1%
2015,California,San Francisco,Ulloa Elementary School,,,Elem,515,K,5,64%,96.4,Far Above Average,75%,Green,59%,Green,0%,84%,4%,1%,5%,1%,5%
2015,Arizona,Chandler,Arizona College Prep Erie Campus,,,"Middle, High",486,7,12,12%,96.3,Far Above Average,81%,Green,73%,Green,1%,20%,14%,6%,59%,0%,1%
2015,New York,New York,Jhs 201 The Dyker Heights,,,Middle,1416,6,8,74%,96.3,Far Above Average,57%,Green,59%,Green,0%,45%,14%,0%,40%,-,0%
2015,Texas,Laredo,Trautmann Elementary School,,,Elem,792,K,5,54%,96.3,Far Above Average,76%,Green,61%,Green,0%,0%,98%,0%,1%,0%,0%
2015,Texas,Grand Prairie,Grand Prairie Fine Arts Academy,,,"Middle, High",-,6,12,-,96.2,Far Above Average,66%,Green,78%,Green,-,-,-,-,-,-,-
2015,New York,New York,The Anderson School,,,"Elem, Middle",572,K,8,10%,96,Far Above Average,78%,Green,89%,Green,0%,28%,9%,4%,54%,-,5%
2015,New York,New York,Young Women's Leadership School of Queens,,,"Middle, High",560,6,12,76%,96,Far Above Average,50%,Green,60%,Green,2%,29%,16%,49%,2%,-,3%
2015,Texas,El Paso,Glen Cove Elementary School,,,Elem,869,K,5,81%,95.9,Far Above Average,74%,Green,54%,Green,0%,0%,93%,2%,4%,0%,1%
2015,Missouri,Independence,William Yates Elementary School,,,Elem,388,K,5,47%,95.9,Far Above Average,69%,Green,66%,Green,0%,3%,10%,12%,68%,0%,7%
2015,Missouri,Kansas City,Nashua Elementary School,,,Elem,374,K,5,23%,95.8,Far Above Average,85%,Green,70%,Green,0%,1%,9%,5%,83%,0%,3%
2015,Texas,Austin,Richards School For Young Women Leade,,,"Middle, High",764,6,12,59%,95.8,Far Above Average,60%,Green,72%,Green,0%,3%,65%,9%,20%,0%,4%
2015,California,San Francisco,Lawton Alternative Elementary School,,,"Elem, Middle",601,K,8,56%,95.7,Far Above Average,68%,Green,59%,Green,0%,75%,6%,3%,7%,1%,8%
2015,New York,New York,Is 289,,,Middle,293,6,8,35%,95.6,Far Above Average,67%,Green,67%,Green,1%,35%,16%,8%,38%,-,2%
2015,Louisiana,Shreveport,Fairfield Magnet School,,Magnet,Elem,465,K,5,14%,95.5,Far Above Average,80%,Green,80%,Green,0%,6%,2%,20%,71%,0%,1%
2015,Tennessee,Memphis,John P. Freeman Optional School,,,"Elem, Middle",-,K,8,-,95.5,Far Above Average,70%,Green,65%,Green,-,-,-,-,-,-,-
2015,New York,Buffalo,City Honors School At Fosdick Masten Park,,Magnet,"Elem, Middle, High",1001,5,12,11%,95.3,Far Above Average,72%,Green,67%,Green,1%,7%,7%,19%,63%,-,3%
2015,New York,New York,East Side Middle School,,,Middle,449,6,8,11%,95.3,Far Above Average,76%,Green,78%,Green,3%,15%,10%,3%,68%,-,1%
2015,New York,New York,Jhs 67 Louis Pasteur,,,Middle,886,6,8,40%,95.3,Far Above Average,68%,Green,60%,Green,1%,63%,11%,2%,22%,-,1%
2015,California,Oakland,Oakland Unity High School,Charter,,High,311,9,12,78%,95.3,Far Above Average,41%,Green,47%,Green,1%,1%,84%,7%,0%,0%,7%
2015,South Carolina,North Charleston,Palmetto Scholars Academy,Charter,,"Middle, High",350,6,12,11%,95.3,Far Above Average,67%,Green,67%,Green,0%,5%,6%,21%,67%,0%,1%
2015,Texas,Brownsville,Benavides Elementary School,,,Elem,653,K,5,89%,95.2,Far Above Average,60%,Green,53%,Green,0%,0%,99%,0%,0%,0%,0%
2015,California,Fresno,Design Science Early College High School,,Magnet,High,256,9,12,75%,95.2,Far Above Average,40%,Green,59%,Green,0%,18%,58%,6%,15%,2%,1%
2015,Arizona,Mesa,Franklin Junior High School,,,Middle,281,7,9,36%,95.2,Far Above Average,72%,Green,60%,Green,1%,2%,30%,1%,63%,0%,3%
2015,California,San Francisco,Galileo High School,,,High,1909,9,12,80%,95.2,Far Above Average,46%,Green,44%,Green,0%,68%,17%,6%,5%,1%,3%
2015,California,San Jose,KIPP San Jose Collegiate,Charter,,High,475,9,12,73%,95.2,Far Above Average,55%,Green,47%,Green,0%,18%,77%,1%,1%,1%,2%
2015,Illinois,Chicago,Taft High School,,,"Middle, High",3185,7,12,63%,95.2,Far Above Average,56%,Green,58%,Green,0%,8%,39%,2%,48%,0%,2%
2015,Indiana,Indianapolis,James A Allison Elementary School 3,,,Elem,280,K,6,80%,95.1,Far Above Average,66%,Green,63%,Green,0%,9%,19%,32%,36%,0%,4%
2015,California,San Bernardino,Richardson PREP HI Middle School,,Magnet,Middle,609,6,8,83%,95.1,Far Above Average,51%,Green,56%,Green,0%,4%,75%,10%,10%,1%,1%
2015,Tennessee,Murfreesboro,The Discovery School @ Bellwood,,Magnet,"Elem, Middle",411,K,8,8%,95.1,Far Above Average,79%,Green,88%,Green,1%,5%,3%,4%,83%,0%,4%
2015,Texas,El Paso,Edgemere Elementary School,,,Elem,657,K,6,79%,95,Far Above Average,67%,Green,52%,Green,0%,1%,89%,4%,5%,0%,1%
2015,New York,New York,Ballet Tech Nyc Ps For Dance,,,"Elem, Middle",149,4,8,64%,94.9,Far Above Average,73%,Green,58%,Green,1%,38%,16%,24%,20%,-,2%
2015,Texas,Dallas,Ben Milam Elementary School,,,Elem,272,K,5,86%,94.8,Far Above Average,65%,Green,61%,Green,0%,0%,90%,5%,3%,0%,0%
